platform;repo_id;grids;topics;repo_last_commit_date;month;authors_count
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-02;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-03;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-04;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-05;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-06;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-07;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-08;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-09;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-10;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-11;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-12;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2018-01;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2018-02;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2018-03;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2018-04;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2018-05;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2018-06;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2018-07;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2018-08;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2018-09;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2018-10;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2018-11;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2019-01;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2019-02;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2019-05;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2019-07;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2019-08;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2019-09;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2019-10;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2019-12;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2020-02;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2020-03;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2020-04;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2020-06;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2020-07;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2020-08;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2020-09;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2020-10;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2020-11;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2020-12;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2021-01;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2021-02;1
